,YEAR,YIELD_1,W13_1,W14_1,W15_1,YIELD_2,W13_2,W14_2,W15_2,YIELD_3,W13_3,W14_3,W15_3,YIELD_4,W13_4,W14_4,W15_4
0,2048,5.54,0.8756488429557777,0.3050320741970735,1.6738516394527312,6.61,1.1965596988833904,0.7840464518125713,1.505208849143425,10.39,2.317832287321661,0.8229357984792547,2.60693395060055,5.77,0.3199736081338535,1.6127614992516928,3.304208621911328
1,1,4.39,0.2202604878890892,1.0741145394551874,0.0409138548274217,6.86,0.3847163289506844,2.876004023226961,1.5354510777609185,8.49,0.0869093973730504,1.4606377444589875,2.1633135679592064,8.65,2.165767639832652,1.7910101458202696,3.0129678407912746
2,2,4.07,0.3827943658047402,0.2153819458598874,1.725848724026595,6.04,0.5739140118638822,0.174179303322591,2.2366413362946647,6.12,0.2428360558929719,0.9439093333369282,3.0412872375626705,6.34,1.402261399508009,2.402111147857181,2.140365686485112
3,8193,4.77,0.6057140665692466,0.1417197933981656,0.940132068942168,6.08,0.3430765005049735,1.527473003468852,0.4172728914735709,10.6,0.8271831378758723,0.3154605061141711,3.172111945606838,3.93,0.520928391233016,1.7813352982321136,2.064324347217794
4,4096,4.4,1.4609732014893164,0.2991900539259597,1.3876682280541697,3.51,0.5361424919652977,0.1580579464006566,0.9584991149128212,8.6,0.5206126223020876,3.0370437281609064,0.2341267793383501,5.58,0.4667956626679677,0.6656072627395322,2.231320064274839
5,6149,4.13,0.2155516113620377,0.277988176492614,0.1727807211696568,4.81,1.3975711066989596,1.9484606084627976,0.957471198043766,9.58,0.5464547403581237,2.440751690847198,0.9492925613894314,0.76,1.077674867638115,2.2141065964832007,1.937737324717108
6,8200,6.43,0.4346614134849831,0.9094878291157992,1.414646856385652,4.84,0.4422524152280663,1.2953679594891372,2.2041761203068724,9.32,1.2493135315693924,1.8294813434871853,1.99453558722114,8.65,1.3325176287837024,1.2250239756049002,2.827238820379229
7,10,4.83,1.2452682252806837,0.3095211177780072,0.0255833210818973,5.8,2.46321661492452,0.4028707337247406,0.6441212957361785,10.33,0.7437437027501737,3.86600188248416,1.81927594194198,3.27,1.787451974914628,1.992824295709933,1.5995462955051876
8,4109,4.48,0.4727647701771252,0.2486348491027147,0.4987234901114087,5.96,0.2038319260362004,1.7854328692552688,1.026318752907811,9.49,1.8869080616573115,3.149833070576759,1.3630272215181398,4.0,3.791637632973941,1.243060039804836,1.9233001760264383
9,8206,5.36,1.3771331236735371,0.0026468904368643,1.927182762411687,4.16,0.6938083758011984,0.9188237948864588,0.4620143505423764,5.52,0.4759557048681676,0.2092174241843591,2.5799062281121907,2.83,0.6579592944527456,2.3345692718129536,1.6003765884297814
10,2062,4.71,1.6201317623761458,0.1324677240627828,0.254593630636679,3.05,0.5373885872301803,0.1032793629594236,1.0575867772940446,6.08,0.9687562258786436,0.2306484335685031,2.283761352672483,0.92,3.4148469997082644,0.0141839703263829,1.389849325697476
11,2064,5.96,1.2629817616904555,0.3393336901490639,0.6719938728437451,8.03,1.6450481242925954,1.5677595697537303,1.7962177639189914,9.28,0.1977591809347965,3.412508566210774,2.492346525451864,6.56,1.3298732840743142,2.1173501189142563,2.988256274094245
12,6161,6.7,1.3952942006296534,0.8187545039693462,0.3274613350912114,5.42,1.6733574775558893,0.2236695277715616,0.7988879647295128,11.35,2.4863203800533955,2.202760188041709,0.444108752171624,2.55,0.7366464893683435,0.5512525645133538,1.6683866695535623
13,8212,4.26,1.6868584856148938,0.0032022251168993,1.0466295734451303,8.73,0.4295965106150893,1.8263970789500523,1.2890725308159252,11.21,1.4755451943518516,1.9400264716336304,0.6911370586599226,2.69,1.8084282501130864,2.318902887640185,2.0662708764945448
14,8215,5.87,1.8758607907927725,0.458219383296142,0.0,5.68,3.2145939251344204,0.1155275571845898,0.45854482545009,11.46,2.664142236461427,1.645617527576892,0.955208461063965,2.96,3.741443520061281,1.9293711009851864,1.437607502297452
